label,count,mean,std,min,25%,50%,75%,max
case,202280.0,-0.508898,0.664475,-5.312973,-0.893896,-0.402694,-0.025263,1.28675
control,295337.0,1.217024,0.748488,-0.794444,0.659686,1.105616,1.675329,5.764912
